order_id,order_datetime,address_raw,city,pincode,customer_id,past_failures,distance_km,time_slot,delivery_status,failure_reason,clean_text,area,landmark,parsed_pincode,address_confidence,latitude,longitude,geo_base_confidence,geo_confidence,area_risk_score,is_evening_or_night,hour_sin,hour_cos,is_weekend,area_success_rate,area_cluster,distance_bucket,label_failed
ORD00011,2026-03-28 13:45:00,close to lake 5th cross indiranagar bengaluru,Bengaluru,560038.0,C0925,4,18.6,afternoon,delivered,,close to lake 5th cross indiranagar bengaluru,indiranagar,,,0.65,12.9719,77.6412,0.88,0.78,0.2,0,-0.25881904510252035,-0.9659258262890684,1,0.8,4,far,0
ORD00012,2026-03-03 11:15:00,close to lake 1th cross hsr layout bengaluru,Bengaluru,,C0488,1,5.4,morning,failed,rescheduled,close to lake 1th cross hsr layout bengaluru,hsr layout,,,0.65,12.9116,77.6474,0.88,0.78,0.28,0,0.258819045102521,-0.9659258262890682,0,0.72,4,near,1
ORD00013,2026-03-05 11:45:00,beside park 4th crs jp nagar blru,Bengaluru,560078.0,C0111,3,11.9,morning,delivered,,beside park 4th crs jp nagar blru,jp nagar,beside park 4th crs,,0.8,12.9077,77.5852,0.88,0.78,0.35,0,0.258819045102521,-0.9659258262890682,0,0.65,0,mid,0
ORD00014,2026-03-24 09:35:00,beside park 3th cross hsr layout bengaluru,Bengaluru,560102.0,C1128,3,5.7,morning,delivered,,beside park 3th cross hsr layout bengaluru,hsr layout,beside park 3th cross,,0.8,12.9116,77.6474,0.88,0.78,0.28,0,0.7071067811865476,-0.7071067811865475,0,0.72,4,near,0
ORD00015,2026-03-18 09:55:00,beside park 8th cross hsr layout bengaluru ???,Bengaluru,560102.0,C0800,4,18.6,morning,failed,rescheduled,beside park 8th cross hsr layout bengaluru,hsr layout,beside park 8th cross,,0.8,12.9116,77.6474,0.88,0.78,0.28,0,0.7071067811865476,-0.7071067811865475,0,0.72,4,far,1
ORD00016,2026-03-23 13:35:00,behind mall 4th cross jp nagar bengaluru,Bengaluru,560078.0,C0118,4,11.6,afternoon,delivered,,behind mall 4th cross jp nagar bengaluru,jp nagar,behind mall 4th cross,,0.8,12.9077,77.5852,0.88,0.78,0.35,0,-0.25881904510252035,-0.9659258262890684,0,0.65,0,mid,0
ORD00017,2026-03-17 18:35:00,near temple 10th crs btm layout blru,Bengaluru,560076.0,C1167,1,2.1,evening,delivered,,near temple 10th crs btm layout blru,btm layout,near temple 10th crs,,0.8,12.9166,77.6101,0.88,0.78,0.32,1,-1.0,-1.8369701987210297e-16,0,0.6799999999999999,5,very_near,0
ORD00018,2026-03-02 18:45:00,opp school 11th cross whitefield bengaluru,Bengaluru,560066.0,C0615,0,12.1,evening,delivered,,opposite school 11th cross whitefield bengaluru,whitefield,opposite school 11th cross,,0.8,12.9698,77.7499,0.88,0.78,0.41,1,-1.0,-1.8369701987210297e-16,0,0.5900000000000001,3,far,0
ORD00019,2026-03-01 13:05:00,behind mall 3th cross jp nagar bengaluru,Bengaluru,560000.0,C0324,4,19.9,afternoon,failed,out_of_zone,behind mall 3th cross jp nagar bengaluru,jp nagar,behind mall 3th cross,,0.8,12.9077,77.5852,0.88,0.78,0.35,0,-0.25881904510252035,-0.9659258262890684,1,0.65,0,far,1
ORD00020,2026-03-20 20:25:00,close to lake 2th cross kengeri bengaluru,Bengaluru,560060.0,C1134,2,11.0,night,failed,customer_unavailable,close to lake 2th cross kengeri bengaluru,kengeri,,,0.65,12.9066,77.4833,0.88,0.78,0.46,1,-0.866025403784439,0.49999999999999933,0,0.54,1,mid,1
ORD00021,2026-03-07 13:45:00,near temple 2th cross jayanagar bengaluru ???,Bengaluru,560011.0,C0268,0,13.1,afternoon,delivered,,near temple 2th cross jayanagar bengaluru,jayanagar,near temple 2th cross,,0.8,12.925,77.5938,0.88,0.78,0.18,0,-0.25881904510252035,-0.9659258262890684,1,0.8200000000000001,3,far,0
ORD00022,2026-03-15 11:55:00,opp school 9th crs jayanagar blru,Bengaluru,560000.0,C0086,1,1.2,morning,delivered,,opposite school 9th crs jayanagar blru,jayanagar,opposite school 9th crs,,0.8,12.925,77.5938,0.88,0.78,0.18,0,0.258819045102521,-0.9659258262890682,1,0.8200000000000001,3,very_near,0
ORD00023,2026-03-12 13:05:00,beside park 10th cross jayanagar bengaluru,Bengaluru,560011.0,C0363,0,3.0,afternoon,delivered,,beside park 10th cross jayanagar bengaluru,jayanagar,beside park 10th cross,,0.8,12.925,77.5938,0.88,0.78,0.18,0,-0.25881904510252035,-0.9659258262890684,0,0.8200000000000001,3,very_near,0
ORD00024,2026-03-24 09:15:00,opp school 5th crs marathahalli blru,Bengaluru,560037.0,C0964,2,8.8,morning,failed,customer_unavailable,opposite school 5th crs marathahalli blru,marathahalli,opposite school 5th crs,,0.8,12.9591,77.6974,0.88,0.78,0.26,0,0.7071067811865476,-0.7071067811865475,0,0.74,3,mid,1
ORD00025,2026-03-10 16:25:00,behind mall 2th cross whitefield bengaluru,Bengaluru,560066.0,C1099,3,5.2,afternoon,delivered,,behind mall 2th cross whitefield bengaluru,whitefield,behind mall 2th cross,,0.8,12.9698,77.7499,0.88,0.78,0.41,0,-0.8660254037844385,-0.5000000000000004,0,0.5900000000000001,3,near,0
ORD00026,2026-03-09 09:05:00,close to lake 6th cross electronic city bengaluru,Bengaluru,560100.0,C0390,4,6.0,morning,delivered,,close to lake 6th cross electronic city bengaluru,electronic city,,,0.65,12.8452,77.6602,0.88,0.78,0.37,0,0.7071067811865476,-0.7071067811865475,0,0.63,2,near,0
ORD00027,2026-03-14 09:55:00,behind mall 11th cross jayanagar bengaluru,Bengaluru,560011.0,C0837,0,2.3,afternoon,delivered,,behind mall 11th cross jayanagar bengaluru,jayanagar,behind mall 11th cross,,0.8,12.925,77.5938,0.88,0.78,0.18,0,0.7071067811865476,-0.7071067811865475,1,0.8200000000000001,3,very_near,0
ORD00028,2026-03-10 16:55:00,opp school 10th cross electronic city bengaluru,Bengaluru,560100.0,C0431,0,13.6,afternoon,delivered,,opposite school 10th cross electronic city bengaluru,electronic city,opposite school 10th cross,,0.8,12.8452,77.6602,0.88,0.78,0.37,0,-0.8660254037844385,-0.5000000000000004,0,0.63,2,far,0
ORD00029,2026-03-21 18:45:00,close to lake 3th cross marathahalli bengaluru,Bengaluru,560037.0,C0192,1,13.8,evening,delivered,,close to lake 3th cross marathahalli bengaluru,marathahalli,,,0.65,12.9591,77.6974,0.88,0.78,0.26,1,-1.0,-1.8369701987210297e-16,1,0.74,3,far,0
ORD00030,2026-03-08 20:25:00,near temple 8th cross whitefield bengaluru,Bengaluru,560066.0,C1013,0,1.9,night,delivered,,near temple 8th cross whitefield bengaluru,whitefield,near temple 8th cross,,0.8,12.9698,77.7499,0.88,0.78,0.41,1,-0.866025403784439,0.49999999999999933,1,0.5900000000000001,3,very_near,0
ORD00031,2026-03-21 11:15:00,opp school 3th cross marathahalli bengaluru,Bengaluru,560037.0,C0249,3,17.3,morning,delivered,,opposite school 3th cross marathahalli bengaluru,marathahalli,opposite school 3th cross,,0.8,12.9591,77.6974,0.88,0.78,0.26,0,0.258819045102521,-0.9659258262890682,1,0.74,3,far,0
ORD00032,2026-03-22 11:35:00,close to lake 9th cross jp nagar bengaluru,Bengaluru,560078.0,C0973,1,7.0,morning,delivered,,close to lake 9th cross jp nagar bengaluru,jp nagar,,,0.65,12.9077,77.5852,0.88,0.78,0.35,0,0.258819045102521,-0.9659258262890682,1,0.65,0,near,0
ORD00033,2026-03-27 13:15:00,near temple 12th cross jp nagar bengaluru,Bengaluru,560078.0,C0284,2,10.9,afternoon,delivered,,near temple 12th cross jp nagar bengaluru,jp nagar,near temple 12th cross,,0.8,12.9077,77.5852,0.88,0.78,0.35,0,-0.25881904510252035,-0.9659258262890684,0,0.65,0,mid,0
ORD00034,2026-03-23 11:35:00,near temple 4th cross indiranagar bengaluru,Bengaluru,560038.0,C0041,0,8.9,morning,delivered,,near temple 4th cross indiranagar bengaluru,indiranagar,near temple 4th cross,,0.8,12.9719,77.6412,0.88,0.78,0.2,0,0.258819045102521,-0.9659258262890682,0,0.8,4,mid,0
ORD00035,2026-03-01 16:35:00,near metro 12th cross bellandur bengaluru,Bengaluru,560103.0,C0559,0,8.4,afternoon,delivered,,near metro 12th cross bellandur bengaluru,bellandur,near metro 12th cross,,0.8,12.9352,77.676,0.88,0.78,0.3,0,-0.8660254037844385,-0.5000000000000004,1,0.7,3,mid,0
ORD00036,2026-03-13 16:05:00,opp school 10th cross marathahalli bengaluru,Bengaluru,560037.0,C0172,1,8.7,afternoon,delivered,,opposite school 10th cross marathahalli bengaluru,marathahalli,opposite school 10th cross,,0.8,12.9591,77.6974,0.88,0.78,0.26,0,-0.8660254037844385,-0.5000000000000004,0,0.74,3,mid,0
ORD00037,2026-03-06 11:35:00,behind mall 7th cross marathahalli bengaluru ???,Bengaluru,560037.0,C0717,0,9.6,night,delivered,,behind mall 7th cross marathahalli bengaluru,marathahalli,behind mall 7th cross,,0.8,12.9591,77.6974,0.88,0.78,0.26,1,0.258819045102521,-0.9659258262890682,0,0.74,3,mid,0
ORD00038,2026-03-25 20:05:00,near metro 3th cross whitefield bengaluru,Bengaluru,560066.0,C0953,0,1.6,night,delivered,,near metro 3th cross whitefield bengaluru,whitefield,near metro 3th cross,,0.8,12.9698,77.7499,0.88,0.78,0.41,1,-0.866025403784439,0.49999999999999933,0,0.5900000000000001,3,very_near,0
ORD00039,2026-03-20 13:15:00,near temple 10th crs jayanagar blru,Bengaluru,560011.0,C0813,2,3.2,afternoon,delivered,,near temple 10th crs jayanagar blru,jayanagar,near temple 10th crs,,0.8,12.925,77.5938,0.88,0.78,0.18,0,-0.25881904510252035,-0.9659258262890684,0,0.8200000000000001,3,near,0
ORD00040,2026-03-23 09:45:00,near temple 10th cross whitefield bengaluru,Bengaluru,560066.0,C1037,0,14.2,morning,delivered,,near temple 10th cross whitefield bengaluru,whitefield,near temple 10th cross,,0.8,12.9698,77.7499,0.88,0.78,0.41,0,0.7071067811865476,-0.7071067811865475,0,0.5900000000000001,3,far,0
ORD00041,2026-03-27 09:35:00,opp school 7th cross electronic city bengaluru,Bengaluru,560100.0,C1103,1,7.9,morning,delivered,,opposite school 7th cross electronic city bengaluru,electronic city,opposite school 7th cross,,0.8,12.8452,77.6602,0.88,0.78,0.37,0,0.7071067811865476,-0.7071067811865475,0,0.63,2,mid,0
ORD00042,2026-03-27 16:35:00,beside park 4th cross jp nagar bengaluru,Bengaluru,,C1013,0,17.2,afternoon,failed,rescheduled,beside park 4th cross jp nagar bengaluru,jp nagar,beside park 4th cross,,0.8,12.9077,77.5852,0.88,0.78,0.35,0,-0.8660254037844385,-0.5000000000000004,0,0.65,0,far,1
ORD00043,2026-03-12 16:15:00,near temple 9th cross indiranagar bengaluru,Bengaluru,560038.0,C0493,0,17.7,afternoon,delivered,,near temple 9th cross indiranagar bengaluru,indiranagar,near temple 9th cross,,0.8,12.9719,77.6412,0.88,0.78,0.2,0,-0.8660254037844385,-0.5000000000000004,0,0.8,4,far,0
ORD00044,2026-03-16 20:55:00,close to lake 10th cross jp nagar bengaluru,Bengaluru,560078.0,C1128,0,6.6,night,delivered,,close to lake 10th cross jp nagar bengaluru,jp nagar,,,0.65,12.9077,77.5852,0.88,0.78,0.35,1,-0.866025403784439,0.49999999999999933,0,0.65,0,near,0
ORD00045,2026-03-15 13:55:00,near metro 12th cross electronic city bengaluru,Bengaluru,560100.0,C1075,0,3.3,afternoon,delivered,,near metro 12th cross electronic city bengaluru,electronic city,near metro 12th cross,,0.8,12.8452,77.6602,0.88,0.78,0.37,0,-0.25881904510252035,-0.9659258262890684,1,0.63,2,near,0
ORD00046,2026-03-27 13:05:00,behind mall 1th cross bellandur bengaluru,Bengaluru,560000.0,C1006,0,4.4,afternoon,failed,wrong_address,behind mall 1th cross bellandur bengaluru,bellandur,behind mall 1th cross,,0.8,12.9352,77.676,0.88,0.78,0.3,0,-0.25881904510252035,-0.9659258262890684,0,0.7,3,near,1
ORD00047,2026-03-16 18:25:00,near temple 2th cross btm layout,Bengaluru,560076.0,C0306,0,19.3,evening,failed,pincode_mismatch,near temple 2th cross btm layout,btm layout,near temple 2th cross,,0.8,12.9166,77.6101,0.88,0.78,0.32,1,-1.0,-1.8369701987210297e-16,0,0.6799999999999999,5,far,1
ORD00048,2026-03-04 09:15:00,beside park 8th cross jayanagar bengaluru,Bengaluru,560011.0,C1165,0,12.3,morning,delivered,,beside park 8th cross jayanagar bengaluru,jayanagar,beside park 8th cross,,0.8,12.925,77.5938,0.88,0.78,0.18,0,0.7071067811865476,-0.7071067811865475,0,0.8200000000000001,3,far,0
ORD00049,2026-03-24 09:45:00,near metro 2th crs bellandur blru,Bengaluru,560103.0,C0067,1,6.0,afternoon,delivered,,near metro 2th crs bellandur blru,bellandur,near metro 2th crs,,0.8,12.9352,77.676,0.88,0.78,0.3,0,0.7071067811865476,-0.7071067811865475,0,0.7,3,near,0
ORD00050,2026-03-10 13:55:00,close to lake 10th cross whitefield bengaluru,Bengaluru,560066.0,C0306,1,14.1,afternoon,delivered,,close to lake 10th cross whitefield bengaluru,whitefield,,,0.65,12.9698,77.7499,0.88,0.78,0.41,0,-0.25881904510252035,-0.9659258262890684,0,0.5900000000000001,3,far,0
ORD00051,2026-03-02 11:05:00,near temple 8th cross jayanagar bengaluru,Bengaluru,560011.0,C1012,0,15.2,morning,delivered,,near temple 8th cross jayanagar bengaluru,jayanagar,near temple 8th cross,,0.8,12.925,77.5938,0.88,0.78,0.18,0,0.258819045102521,-0.9659258262890682,0,0.8200000000000001,3,far,0
ORD00052,2026-03-02 09:45:00,close to lake 10th cross jp nagar,Bengaluru,560000.0,C1181,2,12.5,morning,delivered,,close to lake 10th cross jp nagar,jp nagar,,,0.65,12.9077,77.5852,0.88,0.78,0.35,0,0.7071067811865476,-0.7071067811865475,0,0.65,0,far,0
ORD00053,2026-03-17 11:35:00,beside park 2th cross btm layout bengaluru,Bengaluru,560076.0,C0330,3,4.4,morning,failed,rescheduled,beside park 2th cross btm layout bengaluru,btm layout,beside park 2th cross,,0.8,12.9166,77.6101,0.88,0.78,0.32,0,0.258819045102521,-0.9659258262890682,0,0.6799999999999999,5,near,1
ORD00054,2026-03-10 20:35:00,behind mall 6th crs marathahalli blru,Bengaluru,,C0003,0,15.4,night,delivered,,behind mall 6th crs marathahalli blru,marathahalli,behind mall 6th crs,,0.8,12.9591,77.6974,0.88,0.78,0.26,1,-0.866025403784439,0.49999999999999933,0,0.74,3,far,0
ORD00055,2026-03-02 16:35:00,opp school 5th cross kengeri bengaluru,Bengaluru,560060.0,C0249,0,15.4,afternoon,delivered,,opposite school 5th cross kengeri bengaluru,kengeri,opposite school 5th cross,,0.8,12.9066,77.4833,0.88,0.78,0.46,0,-0.8660254037844385,-0.5000000000000004,0,0.54,1,far,0
ORD00056,2026-03-26 20:45:00,near temple 8th cross btm layout bengaluru,Bengaluru,,C0598,0,11.5,night,delivered,,near temple 8th cross btm layout bengaluru,btm layout,near temple 8th cross,,0.8,12.9166,77.6101,0.88,0.78,0.32,1,-0.866025403784439,0.49999999999999933,0,0.6799999999999999,5,mid,0
ORD00057,2026-03-14 20:25:00,near metro 9th cross kengeri bengaluru,Bengaluru,560060.0,C0850,4,5.6,night,delivered,,near metro 9th cross kengeri bengaluru,kengeri,near metro 9th cross,,0.8,12.9066,77.4833,0.88,0.78,0.46,1,-0.866025403784439,0.49999999999999933,1,0.54,1,near,0
ORD00058,2026-03-27 18:25:00,beside park 9th cross electronic city bengaluru,Bengaluru,560100.0,C0660,2,12.0,evening,delivered,,beside park 9th cross electronic city bengaluru,electronic city,beside park 9th cross,,0.8,12.8452,77.6602,0.88,0.78,0.37,1,-1.0,-1.8369701987210297e-16,0,0.63,2,mid,0
ORD00059,2026-03-19 20:15:00,beside park 7th cross whitefield bengaluru,Bengaluru,560066.0,C0076,2,8.8,night,failed,customer_unavailable,beside park 7th cross whitefield bengaluru,whitefield,beside park 7th cross,,0.8,12.9698,77.7499,0.88,0.78,0.41,1,-0.866025403784439,0.49999999999999933,0,0.5900000000000001,3,mid,1
ORD00060,2026-03-28 18:25:00,opp school 7th cross kengeri bengaluru,Bengaluru,,C0543,2,2.9,evening,delivered,,opposite school 7th cross kengeri bengaluru,kengeri,opposite school 7th cross,,0.8,12.9066,77.4833,0.88,0.78,0.46,1,-1.0,-1.8369701987210297e-16,1,0.54,1,very_near,0
ORD00061,2026-03-13 18:55:00,behind mall 11th cross electronic city bengaluru,Bengaluru,560100.0,C0141,2,17.2,evening,failed,customer_unavailable,behind mall 11th cross electronic city bengaluru,electronic city,behind mall 11th cross,,0.8,12.8452,77.6602,0.88,0.78,0.37,1,-1.0,-1.8369701987210297e-16,0,0.63,2,far,1
ORD00062,2026-03-03 11:55:00,close to lake 5th cross jayanagar,Bengaluru,560011.0,C0768,0,13.0,morning,delivered,,close to lake 5th cross jayanagar,jayanagar,,,0.65,12.925,77.5938,0.88,0.78,0.18,0,0.258819045102521,-0.9659258262890682,0,0.8200000000000001,3,far,0
ORD00063,2026-03-17 11:15:00,beside park 10th cross marathahalli bengaluru,Bengaluru,560037.0,C0521,2,4.4,morning,delivered,,beside park 10th cross marathahalli bengaluru,marathahalli,beside park 10th cross,,0.8,12.9591,77.6974,0.88,0.78,0.26,0,0.258819045102521,-0.9659258262890682,0,0.74,3,near,0
ORD00064,2026-03-01 13:55:00,behind mall 10th cross jp nagar bengaluru,Bengaluru,,C0619,1,6.5,afternoon,delivered,,behind mall 10th cross jp nagar bengaluru,jp nagar,behind mall 10th cross,,0.8,12.9077,77.5852,0.88,0.78,0.35,0,-0.25881904510252035,-0.9659258262890684,1,0.65,0,near,0
ORD00065,2026-03-04 16:35:00,close to lake 7th cross whitefield bengaluru,Bengaluru,560066.0,C0101,1,11.9,afternoon,delivered,,close to lake 7th cross whitefield bengaluru,whitefield,,,0.65,12.9698,77.7499,0.88,0.78,0.41,0,-0.8660254037844385,-0.5000000000000004,0,0.5900000000000001,3,mid,0
ORD00066,2026-03-27 20:35:00,close to lake 4th cross bellandur bengaluru,Bengaluru,560103.0,C0281,0,16.2,night,delivered,,close to lake 4th cross bellandur bengaluru,bellandur,,,0.65,12.9352,77.676,0.88,0.78,0.3,1,-0.866025403784439,0.49999999999999933,0,0.7,3,far,0
ORD00067,2026-03-02 20:55:00,behind mall 6th cross hsr layout bengaluru,Bengaluru,,C0750,1,12.0,night,delivered,,behind mall 6th cross hsr layout bengaluru,hsr layout,behind mall 6th cross,,0.8,12.9116,77.6474,0.88,0.78,0.28,1,-0.866025403784439,0.49999999999999933,0,0.72,4,mid,0
ORD00068,2026-03-27 18:25:00,behind mall 2th cross kengeri,Bengaluru,560060.0,C0814,3,18.9,evening,failed,pincode_mismatch,behind mall 2th cross kengeri,kengeri,behind mall 2th cross,,0.8,12.9066,77.4833,0.88,0.78,0.46,1,-1.0,-1.8369701987210297e-16,0,0.54,1,far,1
ORD00069,2026-03-01 09:35:00,beside park 11th cross electronic city bengaluru,Bengaluru,560100.0,C1150,0,8.0,morning,failed,rescheduled,beside park 11th cross electronic city bengaluru,electronic city,beside park 11th cross,,0.8,12.8452,77.6602,0.88,0.78,0.37,0,0.7071067811865476,-0.7071067811865475,1,0.63,2,mid,1
ORD00070,2026-03-03 11:55:00,near temple 1th cross bellandur bengaluru,Bengaluru,560103.0,C0278,1,14.3,morning,delivered,,near temple 1th cross bellandur bengaluru,bellandur,near temple 1th cross,,0.8,12.9352,77.676,0.88,0.78,0.3,0,0.258819045102521,-0.9659258262890682,0,0.7,3,far,0
ORD00071,2026-03-22 16:25:00,beside park 11th crs marathahalli blru,Bengaluru,560037.0,C0068,2,11.3,afternoon,delivered,,beside park 11th crs marathahalli blru,marathahalli,beside park 11th crs,,0.8,12.9591,77.6974,0.88,0.78,0.26,0,-0.8660254037844385,-0.5000000000000004,1,0.74,3,mid,0
ORD00072,2026-03-15 11:35:00,close to lake 6th crs electronic city blru,Bengaluru,560100.0,C0932,2,2.9,morning,delivered,,close to lake 6th crs electronic city blru,electronic city,,,0.65,12.8452,77.6602,0.88,0.78,0.37,0,0.258819045102521,-0.9659258262890682,1,0.63,2,very_near,0
ORD00073,2026-03-21 20:15:00,near metro 4th crs hsr layout blru,Bengaluru,560102.0,C0478,4,2.0,night,failed,rescheduled,near metro 4th crs hsr layout blru,hsr layout,near metro 4th crs,,0.8,12.9116,77.6474,0.88,0.78,0.28,1,-0.866025403784439,0.49999999999999933,1,0.72,4,very_near,1
ORD00074,2026-03-09 18:05:00,close to lake 1th crs indiranagar blru,Bengaluru,560038.0,C0033,0,3.5,evening,delivered,,close to lake 1th crs indiranagar blru,indiranagar,,,0.65,12.9719,77.6412,0.88,0.78,0.2,1,-1.0,-1.8369701987210297e-16,0,0.8,4,near,0
ORD00075,2026-03-05 13:05:00,near metro 10th crs indiranagar blru,Bengaluru,560038.0,C1068,1,15.2,afternoon,failed,rescheduled,near metro 10th crs indiranagar blru,indiranagar,near metro 10th crs,,0.8,12.9719,77.6412,0.88,0.78,0.2,0,-0.25881904510252035,-0.9659258262890684,0,0.8,4,far,1
ORD00076,2026-03-02 20:05:00,beside park 2th cross jp nagar bengaluru,Bengaluru,560078.0,C1199,2,9.1,night,failed,pincode_mismatch,beside park 2th cross jp nagar bengaluru,jp nagar,beside park 2th cross,,0.8,12.9077,77.5852,0.88,0.78,0.35,1,-0.866025403784439,0.49999999999999933,0,0.65,0,mid,1
ORD00077,2026-03-17 16:45:00,close to lake 11th cross electronic city bengaluru,Bengaluru,560100.0,C0468,1,9.2,afternoon,delivered,,close to lake 11th cross electronic city bengaluru,electronic city,,,0.65,12.8452,77.6602,0.88,0.78,0.37,0,-0.8660254037844385,-0.5000000000000004,0,0.63,2,mid,0
ORD00078,2026-03-13 13:35:00,opp school 11th cross marathahalli,Bengaluru,560037.0,C0198,0,9.1,afternoon,failed,rescheduled,opposite school 11th cross marathahalli,marathahalli,opposite school 11th cross,,0.8,12.9591,77.6974,0.88,0.78,0.26,0,-0.25881904510252035,-0.9659258262890684,0,0.74,3,mid,1
ORD00079,2026-03-19 18:05:00,beside park 12th crs indiranagar blru,Bengaluru,560038.0,C1040,1,13.7,evening,failed,customer_unavailable,beside park 12th crs indiranagar blru,indiranagar,beside park 12th crs,,0.8,12.9719,77.6412,0.88,0.78,0.2,1,-1.0,-1.8369701987210297e-16,0,0.8,4,far,1
ORD00080,2026-03-08 20:35:00,opp school 7th cross indiranagar bengaluru,Bengaluru,560038.0,C1141,0,11.6,night,delivered,,opposite school 7th cross indiranagar bengaluru,indiranagar,opposite school 7th cross,,0.8,12.9719,77.6412,0.88,0.78,0.2,1,-0.866025403784439,0.49999999999999933,1,0.8,4,mid,0
ORD00081,2026-03-27 18:55:00,behind mall 1th cross btm layout bengaluru,Bengaluru,560076.0,C0063,0,6.2,evening,failed,wrong_address,behind mall 1th cross btm layout bengaluru,btm layout,behind mall 1th cross,,0.8,12.9166,77.6101,0.88,0.78,0.32,1,-1.0,-1.8369701987210297e-16,0,0.6799999999999999,5,near,1
ORD00082,2026-03-14 11:35:00,near metro 2th cross kengeri bengaluru,Bengaluru,560060.0,C0168,0,6.9,morning,failed,rescheduled,near metro 2th cross kengeri bengaluru,kengeri,near metro 2th cross,,0.8,12.9066,77.4833,0.88,0.78,0.46,0,0.258819045102521,-0.9659258262890682,1,0.54,1,near,1
ORD00083,2026-03-16 20:35:00,near temple 5th cross jp nagar bengaluru,Bengaluru,560078.0,C0452,0,5.1,night,delivered,,near temple 5th cross jp nagar bengaluru,jp nagar,near temple 5th cross,,0.8,12.9077,77.5852,0.88,0.78,0.35,1,-0.866025403784439,0.49999999999999933,0,0.65,0,near,0
ORD00084,2026-03-01 18:05:00,near temple 1th cross marathahalli bengaluru,Bengaluru,560037.0,C0472,3,15.6,evening,delivered,,near temple 1th cross marathahalli bengaluru,marathahalli,near temple 1th cross,,0.8,12.9591,77.6974,0.88,0.78,0.26,1,-1.0,-1.8369701987210297e-16,1,0.74,3,far,0
